Business Unit,Total Reclaimable Storage (GB),Estimated Cost Savings (USD),Estimated Cost Savings (AED),Carbon Offset (kg CO₂)
AUH,11059.46015625,19907.02828125,73058.7937921875,82.81323765
BDB,12307.75166015625,22153.95298828125,81305.00746699219,92.16044443125
DATA,400.0,720.0,2642.3999999999996,2.9952
DXB,26.76474609375,48.17654296874999,176.8079126953125,0.20041441875000002
EXCH,9.205078125,16.569140625,60.808746093749996,0.06892762499999999
FAL,43942.20537109375,79095.96966796875,290282.2086814453,329.03923381875
HDS,817.2568359375,1471.0623046875,5398.798658203124,6.119619187500001
PURE,2.1943359375,3.9498046874999995,14.495783203124999,0.0164311875
ROPS,50.0,90.0,330.29999999999995,0.3744
RTFD,0.01171875,0.021093749999999398,0.07741406249999999,8.775000000000003e-05
TKG,24.5486328125,44.187539062499994,162.168268359375,0.1838201625
VEEA,2.3330078125,4.1994140625,15.411849609375,0.0174695625
