Location Type,Location,Total Reclaimable Storage (GB),Estimated Cost Savings (USD),Estimated Cost Savings (AED),Carbon Offset (kg CO₂)
Business Domain,BDB,50818.29404296875,60981.9528515625,223803.76696523436,190.26369289687506
Business Domain,DATA,400.01171875,480.0140625,1761.651609375,1.497643875
Business Domain,EXCH,9.205078125,11.04609375,40.5391640625,0.034463812499999996
Business Domain,FAL,2606.78994140625,3128.1479296875,11480.302901953126,9.759821540625
Business Domain,NEW,252.61806640625,303.1416796875,1112.529964453125,0.9458020406250001
Business Domain,PURE,96.8037109375,116.16445312500002,426.3235429687501,0.36243309375
Business Domain,TEST,60.0,72.0,264.24,0.22464
Business Domain,TKGI,24.5486328125,29.458359375,108.11217890625,0.09191008125
Business Domain,VCF,43.83349609375,52.600195312500006,193.04271679687503,0.164112609375
Business Domain,VOL,2.3330078125,2.799609375,10.27456640625,0.00873478125
Business Domain,VRA,52440.8091796875,62928.971015625,230949.32362734375,196.33838956875002
Data Center,AUH,11059.46015625,13271.352187499999,48705.862528125,41.40661882500001
Data Center,DXB,27.03193359375,32.438320312500004,119.048635546875,0.101207559375
